seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr12	44229815	44229844	30	*	X064	84216	44229962	44783541	553580	+	117	upstream	117	TMEM117
chr12	49365178	49366183	1006	*	X065	7480	49359123	49365641	6519	-	0	overlapStart	0	WNT10B
chr12	50450468	50451655	1188	*	X066	41	50451420	50477405	25986	+	0	overlapStart	0	ASIC1
chr12	53626392	53627443	1052	*	X067	5916	53604350	53626040	21691	-	351	upstream	351	RARG
chr12	58148148	58149124	977	*	X070	1019	58141510	58146230	4721	-	1917	upstream	1917	CDK4
chr12	58148148	58149124	977	*	X070	92979	58148881	58154193	5313	+	0	overlapStart	0	MARCHF9
chr12	72232892	72233886	995	*	X071	64786	72233487	72320629	87143	+	0	overlapStart	0	TBC1D15
chr12	109249840	109250999	1160	*	X072	1610	109252708	109294710	42003	+	1708	upstream	1708	DAO
chr12	115122340	115122747	408	*	X073	6926	115108059	115121969	13911	-	370	upstream	370	TBX3
chr13	113242164	113243256	1093	*	X077	10426	113139328	113242481	103154	-	0	overlapStart	0	TUBGCP3
chr15	41055002	41056003	1002	*	X086	2644	41056285	41059911	3627	+	281	upstream	281	GCHFR
chr15	63673502	63673853	352	*	X090	771	63615730	63674075	58346	-	0	inside	221	CA12
chr15	75287382	75288049	668	*	X092	192683	75287876	75313836	25961	+	0	overlapStart	0	SCAMP5
chr16	5007982	5009311	1330	*	X099	9717	5008318	5069156	60839	+	0	overlapStart	0	SEC14L5
chr16	56642128	56642697	570	*	X103	4489	56642478	56673999	31522	+	0	overlapStart	0	MT1A
chr16	56642128	56642697	570	*	X103	4502	56642478	56643409	932	+	0	overlapStart	0	MT2A
chr16	58767854	58768697	844	*	X104	2806	58741035	58768246	27212	-	0	overlapStart	0	GOT2
chr16	67218043	67218386	344	*	X106	653319	67209505	67217943	8439	-	99	upstream	99	KIAA0895L
chr16	67464968	67464985	18	*	X107	3291	67465036	67471454	6419	+	50	upstream	50	HSD11B2
chr17	36830931	36831851	921	*	X116	100170841	36827959	36831187	3229	-	0	overlapStart	0	EPOP
chr17	48045517	48046275	759	*	X119	1748	48046562	48052323	5762	+	286	upstream	286	DLX4
chr17	48046332	48046391	60	*	X120	1748	48046562	48052323	5762	+	170	upstream	170	DLX4
chr17	54911892	54912892	1001	*	X122	339210	54869274	54911256	41983	-	635	upstream	635	C17orf67
chr17	80415556	80416565	1010	*	X129	26502	80416060	80446143	30084	+	0	overlapStart	0	NARF
chr17	81008414	81009502	1089	*	X130	146712	80900031	81009686	109656	-	0	inside	183	B3GNTL1
chr18	21242424	21243434	1011	*	X131	147463	21179978	21242849	62872	-	0	overlapStart	0	ANKRD29
chr19	1905238	1906214	977	*	X132	113178	1905371	1926012	20642	+	0	overlapStart	0	SCAMP4
chr19	1905238	1906214	977	*	X132	113179	1905371	1913446	8076	+	0	overlapStart	0	ADAT3
chr19	7660000	7660907	908	*	X139	57662	7660788	7683196	22409	+	0	overlapStart	0	CAMSAP3
chr19	8674770	8675844	1075	*	X140	81794	8645126	8675588	30463	-	0	overlapStart	0	ADAMTS10
chr19	13105558	13106599	1042	*	X142	4784	13106584	13209610	103027	+	0	overlapStart	0	NFIX
chr19	18313552	18314950	1399	*	X144	5864	18307611	18314874	7264	-	0	overlapStart	0	RAB3A
chr19	18450824	18451728	905	*	X145	54858	18451408	18480763	29356	+	0	overlapStart	0	PGPEP1
chr19	18529378	18530494	1117	*	X146	170463	18530146	18545372	15227	+	0	overlapStart	0	SSBP4
chr19	37861852	37862828	977	*	X147	84503	37862059	37883966	21908	+	0	overlapStart	0	ZNF527
chr19	40324624	40325504	881	*	X149	9149	40315990	40324841	8852	-	0	overlapStart	0	DYRK1B
chr19	41724163	41725209	1047	*	X152	558	41725108	41767671	42564	+	0	overlapStart	0	AXL
chr19	45970399	45971227	829	*	X153	2354	45971253	45978437	7185	+	25	upstream	25	FOSB
chr19	56151083	56152091	1009	*	X156	51157	56152392	56154836	2445	+	300	upstream	300	ZNF580
chr2	11272728	11273776	1049	*	X158	130813	11273179	11286916	13738	+	0	overlapStart	0	C2orf50
chr2	11272728	11273776	1049	*	X158	285150	11239977	11272347	32371	-	380	upstream	380	FLJ33534
chr2	54950712	54951714	1003	*	X159	400954	54952149	55199156	247008	+	434	upstream	434	EML6
chr2	208890261	208891016	756	*	X164	389072	208686012	208890284	204273	-	0	overlapStart	0	PLEKHM3
chr2	242448040	242448943	904	*	X166	10494	242434122	242448987	14866	-	0	inside	43	STK25
chr20	32319815	32320841	1027	*	X168	84905	32319808	32380075	60268	+	0	inside	6	ZNF341
chr20	61493009	61494001	993	*	X172	10732	61472467	61493115	20649	-	0	overlapStart	0	TCFL5
chr22	26879893	26880241	349	*	X178	402055	26879846	26887904	8059	+	0	inside	46	SRRD
chr22	26879893	26880241	349	*	X178	89781	26846849	26879829	32981	-	63	upstream	63	HPS4
chr3	51704665	51705556	892	*	X185	51368	51705191	51738339	33149	+	0	overlapStart	0	TEX264
chr3	52008880	52009916	1037	*	X186	100526760	52009042	52023218	14177	+	0	overlapStart	0	ABHD14A-ACY1
chr3	52008880	52009916	1037	*	X186	25864	52009042	52015216	6175	+	0	overlapStart	0	ABHD14A
chr3	72496139	72496970	832	*	X189	23429	72423744	72495774	72031	-	364	upstream	364	RYBP
chr3	112360050	112360660	611	*	X190	151887	112323409	112359977	36569	-	72	upstream	72	CCDC80
chr3	134093303	134094280	978	*	X191	51421	134074190	134094259	20070	-	0	overlapStart	0	AMOTL2
chr3	197476237	197477163	927	*	X195	84248	197476424	197511317	34894	+	0	overlapStart	0	FYTTD1
chr3	197476237	197477163	927	*	X195	9711	197398259	197476568	78310	-	0	overlapStart	0	RUBCN
chr4	84406268	84406528	261	*	X198	84142	84382094	84406290	24197	-	0	overlapStart	0	ABRAXAS1
chr5	40679971	40680742	772	*	X200	5734	40680032	40693837	13806	+	0	overlapStart	0	PTGER4
chr5	137911159	137912090	932	*	X202	3313	137890571	137911318	20748	-	0	overlapStart	0	HSPA9
chr5	138677608	138677612	5	*	X203	51247	138677519	138705409	27891	+	0	inside	88	PAIP2
chr5	148651508	148652519	1012	*	X205	134265	148651401	148721367	69967	+	0	inside	106	AFAP1L1
chr5	176872921	176874121	1201	*	X207	80758	176873796	176883287	9492	+	0	overlapStart	0	PRR7
chr7	191259	192358	1100	*	X215	56975	192969	300740	107772	+	610	upstream	610	FAM20C
chr7	12725679	12726689	1011	*	X218	10124	12726452	12730558	4107	+	0	overlapStart	0	ARL4A
chr7	21985335	21986343	1009	*	X219	55536	21940517	21985542	45026	-	0	overlapStart	0	CDCA7L
chr7	96746156	96746197	42	*	X222	57001	96745905	96811075	65171	+	0	inside	250	SDHAF3
chr7	105752574	105753555	982	*	X223	6856	105730814	105753093	22280	-	0	overlapStart	0	SYPL1
chr7	128095345	128096197	853	*	X225	29923	128095884	128098472	2589	+	0	overlapStart	0	HILPDA
chr7	138720379	138721291	913	*	X226	92092	138710452	138720775	10324	-	0	overlapStart	0	ZC3HAV1L
chr7	150019518	150020526	1009	*	X227	653857	149944301	150020758	76458	-	0	inside	231	ACTR3C
chr7	150973959	150975043	1085	*	X229	6604	150936059	150974231	38173	-	0	overlapStart	0	SMARCD3
chr7	151572149	151573272	1124	*	X230	100505483	151574127	151576308	2182	+	854	upstream	854	PRKAG2-AS1
chr8	22455055	22455510	456	*	X232	541565	22457114	22461662	4549	+	1603	upstream	1603	C8orf58
chr8	22455588	22456399	812	*	X233	541565	22457114	22461662	4549	+	714	upstream	714	C8orf58
chr8	37653707	37654277	571	*	X235	25960	37654401	37701504	47104	+	123	upstream	123	ADGRA2
chr8	97274622	97275076	455	*	X238	51001	97251645	97273796	22152	-	825	upstream	825	MTERF3
chr8	97275534	97275733	200	*	X239	51001	97251645	97273796	22152	-	1737	upstream	1737	MTERF3
chr8	144452041	144452267	227	*	X241	78998	144448793	144450805	2013	-	1235	upstream	1235	RHPN1-AS1
chr9	37422022	37423025	1004	*	X246	9380	37422681	37436986	14306	+	0	overlapStart	0	GRHPR
chr9	130965954	130966011	58	*	X249	1759	130965663	131017527	51865	+	0	inside	290	DNM1
chr9	133813888	133814347	460	*	X253	84929	133777825	133814455	36631	-	0	inside	107	FIBCD1
chr9	140148898	140149206	309	*	X256	100129722	140144671	140147949	3279	-	948	upstream	948	STPG3-AS1
chr9	140148898	140149206	309	*	X256	25920	140149759	140168000	18242	+	552	upstream	552	NELFB
