seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	55181320	55181377	58	*	X0077	7268	55181495	55208328	26834	+	117	upstream	117	TTC4
chr1	59012558	59012608	51	*	X0078	115209	58939504	59012446	72943	-	111	upstream	111	OMA1
chr1	59012558	59012608	51	*	X0078	1600	57463579	59012446	1548868	-	111	upstream	111	DAB1
chr1	59043144	59043205	62	*	X0079	4070	59041095	59043166	2072	-	0	overlapStart	0	TACSTD2
chr1	59043293	59043319	27	*	X0080	4070	59041095	59043166	2072	-	126	upstream	126	TACSTD2
chr1	61542539	61542616	78	*	X0085	4774	61542946	61928460	385515	+	329	upstream	329	NFIA
chr1	61542769	61542798	30	*	X0086	4774	61542946	61928460	385515	+	147	upstream	147	NFIA
chr1	70820825	70820872	48	*	X0088	81573	70724685	70820417	95733	-	407	upstream	407	ANKRD13C
chr1	87381413	87381427	15	*	X0093	9403	87328128	87380107	51980	-	1305	upstream	1305	SELENOF
chr1	89458880	89458931	52	*	X0094	494115	89445139	89458643	13505	-	236	upstream	236	RBMXL1
chr1	89458880	89458931	52	*	X0094	56267	89401456	89458643	57188	-	236	upstream	236	KYAT3
chr1	94344896	94344912	17	*	X0097	30836	94335014	94344762	9749	-	133	upstream	133	DNTTIP2
chr1	100435313	100435332	20	*	X0099	23443	100435345	100492534	57190	+	12	upstream	12	SLC35A3
chr1	109633162	109633186	25	*	X0100	56900	109633403	109639554	6152	+	216	upstream	216	TMEM167B
chr1	110026258	110026329	72	*	X0102	127002	110026561	110035420	8860	+	231	upstream	231	ATXN7L2
chr1	110052506	110052534	29	*	X0103	57463	110049446	110052336	2891	-	169	upstream	169	AMIGO1
chr1	111506785	111506884	100	*	X0104	55791	111489812	111506566	16755	-	218	upstream	218	LRIF1
chr1	115259547	115259560	14	*	X0107	4893	115247085	115259515	12431	-	31	upstream	31	NRAS
chr1	116654287	116654400	114	*	X0108	126868	116654376	116677861	23486	+	0	overlapStart	0	MAB21L3
chr1	116654437	116654615	179	*	X0109	126868	116654376	116677861	23486	+	0	inside	60	MAB21L3
chr1	116961085	116961091	7	*	X0110	84852	116935487	116961244	25758	-	0	inside	152	ATP1A1-AS1
chr1	145096166	145096357	192	*	X0112	9554	145096407	145116997	20591	+	49	upstream	49	SEC22B
chr1	147012843	147013074	232	*	X0116	607	147013182	147098015	84834	+	107	upstream	107	BCL9
chr1	147806587	147806657	71	*	X0118	100847044	147806603	147806678	76	-	0	overlapEnd	20	MIR5087
chr1	147806933	147806957	25	*	X0119	100847044	147806603	147806678	76	-	254	upstream	254	MIR5087
chr1	149870968	149870980	13	*	X0120	51027	149871155	149872348	1194	+	174	upstream	174	BOLA1
chr1	149871007	149871083	77	*	X0121	51027	149871155	149872348	1194	+	71	upstream	71	BOLA1
chr1	149871095	149871202	108	*	X0122	51027	149871155	149872348	1194	+	0	overlapStart	0	BOLA1
chr1	149982855	149982856	2	*	X0123	56957	149912232	149982686	70455	-	168	upstream	168	OTUD7B
chr1	151020032	151020043	12	*	X0125	54964	151020259	151023871	3613	+	215	upstream	215	C1orf56
chr1	151020055	151020143	89	*	X0126	54964	151020259	151023871	3613	+	115	upstream	115	C1orf56
chr1	151042906	151042922	17	*	X0127	126626	151043080	151091007	47928	+	157	upstream	157	GABPB2
chr1	151138356	151138367	12	*	X0128	388695	151132224	151138424	6201	-	0	inside	56	LYSMD1
chr1	151138356	151138367	12	*	X0128	79005	151138498	151142773	4276	+	130	upstream	130	SCNM1
chr1	153508726	153508803	78	*	X0129	6277	153507076	153508717	1642	-	8	upstream	8	S100A6
chr1	153508870	153508880	11	*	X0130	6277	153507076	153508717	1642	-	152	upstream	152	S100A6
chr1	153517953	153517988	36	*	X0131	6275	153516095	153518282	2188	-	0	inside	293	S100A4
chr1	154531569	154531622	54	*	X0134	55585	154521051	154531120	10070	-	448	upstream	448	UBE2Q1
chr1	154540547	154540610	64	*	X0135	1141	154540257	154552353	12097	+	0	inside	289	CHRNB2
chr1	155098438	155098458	21	*	X0139	1942	155100349	155107386	7038	+	1890	upstream	1890	EFNA1
chr1	155098494	155098858	365	*	X0140	1942	155100349	155107386	7038	+	1490	upstream	1490	EFNA1
chr1	155098889	155099135	247	*	X0141	1942	155100349	155107386	7038	+	1213	upstream	1213	EFNA1
chr1	155099335	155099402	68	*	X0142	1942	155100349	155107386	7038	+	946	upstream	946	EFNA1
chr1	155164515	155164543	29	*	X0143	4582	155158300	155162706	4407	-	1808	upstream	1808	MUC1
chr1	155164515	155164543	29	*	X0143	693235	155164968	155165063	96	+	424	upstream	424	MIR92B
chr1	155214707	155214807	101	*	X0145	2629	155204239	155214653	10415	-	53	upstream	53	GBA
chr1	155225283	155225317	35	*	X0146	10712	155216996	155225274	8279	-	8	upstream	8	FAM189B
chr1	156561344	156561426	83	*	X0148	128240	156561558	156566601	5044	+	131	upstream	131	NAXE
chr1	156711263	156711298	36	*	X0151	79590	156707094	156710923	3830	-	339	upstream	339	MRPL24
chr1	156830408	156830426	19	*	X0152	3645	156810665	156828712	18048	-	1695	upstream	1695	INSRR
chr1	157963153	157963175	23	*	X0153	55243	157963063	158065844	102782	+	0	inside	89	KIRREL1
chr1	158968779	158968868	90	*	X0155	3428	158969758	159024945	55188	+	889	upstream	889	IFI16
chr1	158968897	158968907	11	*	X0156	3428	158969758	159024945	55188	+	850	upstream	850	IFI16
chr1	161016088	161016167	80	*	X0160	7391	161009041	161015769	6729	-	318	upstream	318	USF1
chr1	161016225	161016251	27	*	X0161	7391	161009041	161015769	6729	-	455	upstream	455	USF1
chr1	161067393	161067416	24	*	X0162	126823	161068151	161070138	1988	+	734	upstream	734	KLHDC9
chr1	161067456	161067524	69	*	X0163	126823	161068151	161070138	1988	+	626	upstream	626	KLHDC9
chr1	161067593	161067596	4	*	X0164	126823	161068151	161070138	1988	+	554	upstream	554	KLHDC9
chr1	161067611	161067638	28	*	X0165	126823	161068151	161070138	1988	+	512	upstream	512	KLHDC9
chr1	161129158	161129184	27	*	X0167	27005	161129254	161135516	6263	+	69	upstream	69	USP21
chr1	161493534	161493599	66	*	X0171	3310	161494036	161496687	2652	+	436	upstream	436	HSPA6
chr1	166808401	166808415	15	*	X0175	57645	166808724	166823709	14986	+	308	upstream	308	POGK
chr1	166808460	166808536	77	*	X0176	57645	166808724	166823709	14986	+	187	upstream	187	POGK
chr1	173683843	173683983	141	*	X0181	27252	173684080	173755840	71761	+	96	upstream	96	KLHL20
chr1	180992423	180992478	56	*	X0187	10228	180942176	180992046	49871	-	376	upstream	376	STX6
chr1	182758487	182758530	44	*	X0189	80896	182758584	182799519	40936	+	53	upstream	53	NPL
chr1	184020654	184020661	8	*	X0190	116461	184020811	184043344	22534	+	149	upstream	149	TSEN15
chr1	201476387	201476448	62	*	X0192	1465	201452658	201476387	23730	-	0	overlapStart	0	CSRP1
chr1	202317564	202317566	3	*	X0194	4660	202317830	202557697	239868	+	263	upstream	263	PPP1R12B
chr1	202779826	202779833	8	*	X0195	100506696	202780074	202781041	968	+	240	upstream	240	PCAT6
chr1	203830497	203830505	9	*	X0199	6635	203830727	203840280	9554	+	221	upstream	221	SNRPE
chr1	205180954	205181035	82	*	X0201	25778	205111631	205180727	69097	-	226	upstream	226	DSTYK
chr1	205719765	205719778	14	*	X0204	64710	205681947	205719372	37426	-	392	upstream	392	NUCKS1
chr1	206808702	206808725	24	*	X0206	8444	206808881	206857760	48880	+	155	upstream	155	DYRK3
chr1	207494235	207494302	68	*	X0208	1604	207494817	207534311	39495	+	514	upstream	514	CD55
chr1	209848469	209848478	10	*	X0210	50486	209848670	209849735	1066	+	191	upstream	191	G0S2
chr1	210407471	210407765	295	*	X0211	574036	210404804	210407466	2663	-	4	upstream	4	SERTAD4-AS1
chr1	211849367	211849495	129	*	X0212	4751	211831599	211848972	17374	-	394	upstream	394	NEK2
chr1	213224571	213224595	25	*	X0216	26750	213224588	213446808	222221	+	0	overlapStart	0	RPS6KC1
chr1	214454200	214454202	3	*	X0217	56950	214454565	214510477	55913	+	362	upstream	362	SMYD2
chr1	220445995	220446031	37	*	X0219	25782	220321610	220445843	124234	-	151	upstream	151	RAB3GAP2
chr1	224301694	224301736	43	*	X0222	23219	224301789	224349749	47961	+	52	upstream	52	FBXO28
chr1	229406629	229406632	4	*	X0229	5867	229406809	229441640	34832	+	176	upstream	176	RAB4A
chr1	230778058	230778061	4	*	X0230	22796	230778202	230829731	51530	+	140	upstream	140	COG2
chr1	236958159	236958169	11	*	X0232	4548	236958581	237067281	108701	+	411	upstream	411	MTR
chr1	236958208	236958263	56	*	X0233	4548	236958581	237067281	108701	+	317	upstream	317	MTR
chr1	236958278	236958408	131	*	X0234	4548	236958581	237067281	108701	+	172	upstream	172	MTR
chr1	244998072	244998154	83	*	X0236	116228	244998639	245008359	9721	+	484	upstream	484	COX20
chr1	244998181	244998185	5	*	X0237	116228	244998639	245008359	9721	+	453	upstream	453	COX20
chr1	245028036	245028084	49	*	X0238	3192	245013602	245027827	14226	-	208	upstream	208	HNRNPU
chr2	3622510	3622526	17	*	X0244	6201	3622853	3628509	5657	+	326	upstream	326	RPS7
chr2	3622551	3622589	39	*	X0245	6201	3622853	3628509	5657	+	263	upstream	263	RPS7
chr2	9771566	9771721	156	*	X0247	10971	9724106	9771106	47001	-	459	upstream	459	YWHAQ
chr2	11273153	11273185	33	*	X0251	130813	11273179	11286916	13738	+	0	overlapStart	0	C2orf50
chr2	11273153	11273185	33	*	X0251	285150	11239977	11272347	32371	-	805	upstream	805	FLJ33534
chr2	11273228	11273276	49	*	X0252	130813	11273179	11286916	13738	+	0	inside	48	C2orf50
chr2	11273228	11273276	49	*	X0252	285150	11239977	11272347	32371	-	880	upstream	880	FLJ33534
chr2	15701540	15701567	28	*	X0256	51594	15307032	15701472	394441	-	67	upstream	67	NBAS
chr2	20190026	20190054	29	*	X0257	57539	20110029	20189884	79856	-	141	upstream	141	WDR35
chr2	25897010	25897026	17	*	X0260	1838	25600067	25896516	296450	-	493	upstream	493	DTNB
chr2	27440085	27440123	39	*	X0261	790	27440258	27466654	26397	+	134	upstream	134	CAD
chr2	32265049	32265087	39	*	X0264	51072	32092894	32264862	171969	-	186	upstream	186	MEMO1
chr2	32265049	32265087	39	*	X0264	84661	32248972	32264862	15891	-	186	upstream	186	DPY30
chr2	38303269	38303332	64	*	X0265	1545	38294746	38303323	8578	-	0	overlapStart	0	CYP1B1
chr2	38978640	38978754	115	*	X0266	6432	38970741	38978636	7896	-	3	upstream	3	SRSF7
chr2	38978640	38978754	115	*	X0266	79833	38978676	39009106	30431	+	0	overlapStart	0	GEMIN6
chr2	46843135	46843267	133	*	X0268	9419	46844325	46852881	8557	+	1057	upstream	1057	CRIPT
chr2	47404079	47404101	23	*	X0270	285051	47293080	47403740	110661	-	338	upstream	338	STPG4
chr2	47404079	47404101	23	*	X0270	805	47387221	47403740	16520	-	338	upstream	338	CALM2
chr2	54951202	54951214	13	*	X0271	400954	54952149	55199156	247008	+	934	upstream	934	EML6
chr2	55647560	55647570	11	*	X0272	55704	55514978	55647057	132080	-	502	upstream	502	CCDC88A
chr2	62132681	62132716	36	*	X0273	150684	62132803	62363205	230403	+	86	upstream	86	COMMD1
chr2	69664691	69664766	76	*	X0276	27247	69623245	69664760	41516	-	0	overlapStart	0	NFU1
chr2	70120889	70120982	94	*	X0278	11017	70121075	70132368	11294	+	92	upstream	92	SNRNP27
chr2	74681892	74681923	32	*	X0281	100532735	74682150	74688018	5869	+	226	upstream	226	INO80B-WBP1
chr2	74681892	74681923	32	*	X0281	83444	74682150	74685087	2938	+	226	upstream	226	INO80B
chr2	74699870	74699915	46	*	X0282	116540	74699085	74699942	858	-	0	inside	26	MRPL53
chr2	75873724	75873749	26	*	X0286	9801	75873909	75889334	15426	+	159	upstream	159	MRPL19
chr2	75873769	75873786	18	*	X0287	9801	75873909	75889334	15426	+	122	upstream	122	MRPL19
chr2	75873799	75873827	29	*	X0288	9801	75873909	75889334	15426	+	81	upstream	81	MRPL19
chr2	75938105	75938105	1	*	X0289	6936	75889832	75938111	48280	-	0	inside	5	GCFC2
chr2	86667679	86667692	14	*	X0292	55818	86668271	86719839	51569	+	578	upstream	578	KDM3A
chr2	118845770	118845781	12	*	X0301	51141	118846050	118867597	21548	+	268	upstream	268	INSIG2
chr2	159314849	159314849	1	*	X0309	130940	159027869	159313265	285397	-	1583	upstream	1583	CCDC148
chr2	170681507	170681527	21	*	X0312	29081	170668268	170681420	13153	-	86	upstream	86	METTL5
chr2	171627164	171627179	16	*	X0313	100505695	171627604	171634757	7154	+	424	upstream	424	NA
chr2	178976945	178976965	21	*	X0316	129831	178977182	178994382	17201	+	216	upstream	216	RBM45
chr2	191879112	191879144	33	*	X0317	6772	191833762	191878976	45215	-	135	upstream	135	STAT1
chr2	198380466	198380532	67	*	X0318	25843	198380295	198418423	38129	+	0	inside	170	MOB4
chr2	198668953	198668967	15	*	X0319	5334	198669426	199014608	345183	+	458	upstream	458	PLCL1
chr2	198669031	198669043	13	*	X0320	5334	198669426	199014608	345183	+	382	upstream	382	PLCL1
chr2	201729567	201729580	14	*	X0322	1195	201717732	201729467	11736	-	99	upstream	99	CLK1
chr2	203499267	203499326	60	*	X0323	150864	203499901	203634480	134580	+	574	upstream	574	FAM117B
chr2	208890447	208890516	70	*	X0324	389072	208686012	208890284	204273	-	162	upstream	162	PLEKHM3
chr2	214149492	214149500	9	*	X0326	100130451	214141277	214148929	7653	-	562	upstream	562	SPAG16-DT
chr2	217237058	217237206	149	*	X0327	57574	217122585	217236750	114166	-	307	upstream	307	MARCHF4
chr2	220362522	220362665	144	*	X0328	29926	220363587	220371718	8132	+	921	upstream	921	GMPPA
chr3	3221557	3221582	26	*	X0346	51185	3191317	3221401	30085	-	155	upstream	155	CRBN
chr3	4508944	4509058	115	*	X0347	285362	3823036	4508966	685931	-	0	overlapStart	0	SUMF1
chr3	5163797	5163838	42	*	X0350	55207	5163930	5222601	58672	+	91	upstream	91	ARL8B
chr3	9404583	9404638	56	*	X0351	25917	9404717	9428475	23759	+	78	upstream	78	THUMPD3
chr3	12598320	12598400	81	*	X0353	23609	12598513	12625210	26698	+	112	upstream	112	MKRN2
chr3	23987909	23987938	30	*	X0360	28512	23933572	23988053	54482	-	0	inside	114	NKIRAS1
chr3	23988006	23988030	25	*	X0361	28512	23933572	23988053	54482	-	0	inside	22	NKIRAS1
chr3	23988090	23988117	28	*	X0362	28512	23933572	23988053	54482	-	36	upstream	36	NKIRAS1
chr3	37284496	37284588	93	*	X0363	2803	37284682	37408370	123689	+	93	upstream	93	GOLGA4
chr3	40350950	40351008	59	*	X0366	10289	40351173	40353915	2743	+	164	upstream	164	EIF1B
chr3	40350950	40351008	59	*	X0366	440952	40214638	40351189	136552	-	0	inside	180	EIF1B-AS1
chr3	40498567	40498612	46	*	X0367	9045	40498783	40503863	5081	+	170	upstream	170	RPL14
chr3	40566180	40566246	67	*	X0368	285268	40566376	40581043	14668	+	129	upstream	129	ZNF621
chr3	40566584	40566624	41	*	X0369	285268	40566376	40581043	14668	+	0	inside	207	ZNF621
chr3	43147738	43147754	17	*	X0371	84892	43120721	43147575	26855	-	162	upstream	162	POMGNT2
chr3	45730283	45730329	47	*	X0377	22908	45730754	45786900	56147	+	424	upstream	424	SACM1L
chr3	45730283	45730329	47	*	X0377	644714	45719657	45730374	10718	-	0	inside	44	LIMD1-AS1
chr3	45730343	45730438	96	*	X0378	22908	45730754	45786900	56147	+	315	upstream	315	SACM1L
chr3	45730343	45730438	96	*	X0378	644714	45719657	45730374	10718	-	0	overlapStart	0	LIMD1-AS1
chr3	48601801	48601819	19	*	X0389	90226	48599151	48601201	2051	-	599	upstream	599	UCN2
chr3	49131990	49132008	19	*	X0391	54870	49067142	49131504	64363	-	485	upstream	485	QRICH1
chr3	49132073	49132087	15	*	X0392	54870	49067142	49131504	64363	-	568	upstream	568	QRICH1
chr3	49171084	49171094	11	*	X0393	3913	49158547	49170599	12053	-	484	upstream	484	LAMB2
chr3	49171107	49171126	20	*	X0394	3913	49158547	49170599	12053	-	507	upstream	507	LAMB2
chr3	49171148	49171190	43	*	X0395	3913	49158547	49170599	12053	-	548	upstream	548	LAMB2
chr3	49377633	49377689	57	*	X0396	7375	49314577	49377536	62960	-	96	upstream	96	USP4
chr3	50388057	50388201	145	*	X0398	10641	50384919	50388486	3568	-	0	inside	284	NPRL2
chr3	50388057	50388201	145	*	X0398	11068	50388297	50391496	3200	+	95	upstream	95	CYB561D2
chr3	51704894	51705058	165	*	X0401	51368	51705191	51738339	33149	+	132	upstream	132	TEX264
chr3	52030062	52030164	103	*	X0403	6159	52027644	52029958	2315	-	103	upstream	103	RPL29
chr3	52091110	52091228	119	*	X0405	1849	52082937	52090461	7525	-	648	upstream	648	DUSP7
chr3	52091263	52091275	13	*	X0406	1849	52082937	52090461	7525	-	801	upstream	801	DUSP7
chr3	53916376	53916380	5	*	X0407	93973	53901094	53916229	15136	-	146	upstream	146	ACTR8
chr3	56717553	56717705	153	*	X0409	23272	56654160	56717135	62976	-	417	upstream	417	TASOR
chr3	58318406	58318408	3	*	X0410	54899	58318617	58410878	92262	+	208	upstream	208	PXK
chr3	72496639	72496765	127	*	X0415	23429	72423744	72495774	72031	-	864	upstream	864	RYBP
chr3	72496783	72496806	24	*	X0416	23429	72423744	72495774	72031	-	1008	upstream	1008	RYBP
chr3	81810956	81810987	32	*	X0418	2632	81538850	81810950	272101	-	5	upstream	5	GBE1
chr3	99536317	99536335	19	*	X0419	84319	99536678	99897476	360799	+	342	upstream	342	CMSS1
chr3	99536353	99536405	53	*	X0420	84319	99536678	99897476	360799	+	272	upstream	272	CMSS1
chr3	101292411	101292431	21	*	X0421	57092	101293042	101313281	20240	+	610	upstream	610	PCNP
chr3	112359856	112359864	9	*	X0423	151887	112323409	112359977	36569	-	0	inside	112	CCDC80
chr3	112359912	112360160	249	*	X0424	151887	112323409	112359977	36569	-	0	overlapStart	0	CCDC80
chr3	112738600	112738618	19	*	X0426	25871	112721292	112738555	17264	-	44	upstream	44	NEPRO
chr3	119187672	119187691	20	*	X0427	56983	119187785	119213554	25770	+	93	upstream	93	POGLUT1
chr3	120460888	120460900	13	*	X0428	2960	120461558	120501916	40359	+	657	upstream	657	GTF2E1
chr3	127310027	127310045	19	*	X0431	131601	127291907	127309602	17696	-	424	upstream	424	TPRA1
chr3	127542374	127542390	17	*	X0432	11343	127407905	127542093	134189	-	280	upstream	280	MGLL
chr3	127542403	127542441	39	*	X0433	11343	127407905	127542093	134189	-	309	upstream	309	MGLL
chr3	128444821	128444835	15	*	X0435	7879	128444979	128533641	88663	+	143	upstream	143	RAB7A
chr3	131222031	131222042	12	*	X0436	11222	131181045	131221860	40816	-	170	upstream	170	MRPL3
chr3	145879179	145879329	151	*	X0443	5352	145787228	145879282	92055	-	0	overlapStart	0	PLOD2
chr3	148804657	148804717	61	*	X0444	6596	148747904	148804341	56438	-	315	upstream	315	HLTF
chr3	149374682	149374834	153	*	X0445	100128025	149375997	149379149	3153	+	1162	upstream	1162	WWTR1-AS1
chr3	149470473	149470526	54	*	X0446	51122	149456257	149470286	14030	-	186	upstream	186	COMMD2
chr3	155572487	155572581	95	*	X0447	9197	155544301	155572248	27948	-	238	upstream	238	SLC33A1
chr3	158519673	158519732	60	*	X0451	64747	158519715	158547508	27794	+	0	overlapStart	0	MFSD1
chr3	170626556	170626929	374	*	X0457	56648	170606204	170626426	20223	-	129	upstream	129	EIF5A2
chr3	171528416	171528444	29	*	X0459	5337	171318195	171528504	210310	-	0	inside	59	PLD1
chr3	180319550	180319574	25	*	X0465	151613	180319918	180335616	15699	+	343	upstream	343	TTC14
chr3	183735862	183735866	5	*	X0468	10057	183637724	183735727	98004	-	134	upstream	134	ABCC5
chr3	183851887	183851936	50	*	X0469	8893	183852810	183863099	10290	+	873	upstream	873	EIF2B5
chr3	183851953	183851971	19	*	X0470	8893	183852810	183863099	10290	+	838	upstream	838	EIF2B5
chr3	184032158	184032174	17	*	X0471	1981	184032283	184053146	20864	+	108	upstream	108	EIF4G1
chr3	184430026	184430054	29	*	X0472	64110	184428155	184429836	1682	-	189	upstream	189	MAGEF1
chr3	184529802	184529821	20	*	X0473	23355	184529931	184770402	240472	+	109	upstream	109	VPS8
chr3	185217091	185217223	133	*	X0474	90407	185207389	185216845	9457	-	245	upstream	245	TMEM41A
chr3	185656213	185656227	15	*	X0475	6434	185632358	185655924	23567	-	288	upstream	288	TRA2B
chr3	190231308	190231317	10	*	X0476	3556	190231840	190374986	143147	+	522	upstream	522	IL1RAP
chr3	192636159	192636230	72	*	X0480	151963	192514605	192635950	121346	-	208	upstream	208	MB21D2
chr3	193310794	193310808	15	*	X0481	4976	193310933	193415600	104668	+	124	upstream	124	OPA1
chr3	194406870	194406905	36	*	X0489	131583	194406622	194409766	3145	+	0	inside	247	FAM43A
chr3	194992671	194992700	30	*	X0490	152002	194789013	194991895	202883	-	775	upstream	775	XXYLT1
chr3	195270576	195270590	15	*	X0491	5504	195241221	195270224	29004	-	351	upstream	351	PPP1R2
chr3	196159471	196159506	36	*	X0494	26043	196080369	196159345	78977	-	125	upstream	125	UBXN7
chr3	196466489	196466513	25	*	X0495	5062	196466728	196559518	92791	+	214	upstream	214	PAK2
chr3	196466525	196466566	42	*	X0496	5062	196466728	196559518	92791	+	161	upstream	161	PAK2
chr3	197476568	197476663	96	*	X0500	84248	197476424	197511317	34894	+	0	inside	143	FYTTD1
chr3	197476568	197476663	96	*	X0500	9711	197398259	197476568	78310	-	0	overlapStart	0	RUBCN
chr4	7941718	7941777	60	*	X0503	60312	7760440	7941653	181214	-	64	upstream	64	AFAP1
chr4	25314144	25314225	82	*	X0507	29063	25314396	25372005	57610	+	170	upstream	170	ZCCHC4
chr4	26585357	26585523	167	*	X0508	55296	26585546	26756918	171373	+	22	upstream	22	TBC1D19
chr4	80994459	80994504	46	*	X0512	118429	80822771	80994477	171707	-	0	overlapStart	0	ANTXR2
chr4	84405963	84406028	66	*	X0513	84142	84382094	84406290	24197	-	0	inside	261	ABRAXAS1
chr4	146402593	146402616	24	*	X0523	4086	146402951	146480325	77375	+	334	upstream	334	SMAD1
chr4	184019196	184019211	16	*	X0524	80014	184020463	184241929	221467	+	1251	upstream	1251	WWC2
chr5	891526	891680	155	*	X0529	9319	892969	918164	25196	+	1288	upstream	1288	TRIP13
chr5	8457455	8457544	90	*	X0540	100505738	8457800	8463209	5410	+	255	upstream	255	MIR4458HG
chr5	8457455	8457544	90	*	X0540	729506	8333596	8457677	124082	-	0	inside	132	LINC02226
